town,n_obs,const,dist_mrt,dist_hcen,dist_scen,bus_count_400m,resale_age,storey_mid,type_2 ROOM,type_3 ROOM,type_4 ROOM,type_5 ROOM,type_EXECUTIVE,type_MULTI-GENERATION,model_3Gen,model_Adjoined flat,model_Apartment,model_DBSS,model_Improved,model_Improved-Maisonette,model_Maisonette,model_Model A,model_Model A-Maisonette,model_Model A2,model_Multi Generation,model_New Generation,model_Premium Apartment,model_Premium Apartment Loft,model_Simplified,model_Standard,model_Terrace,model_Type S1,model_Type S2
GEYLANG,635,10.341297345763397,-4.3135662190578114e-05,5.495052722251343e-05,-5.226212908611877e-05,0.004718743125800215,-0.009533814612977108,0.007962256933315509,1.5719429134203953,1.780123077344272,2.08568573787851,2.449964108484926,2.4535815086353088,-6.0151698507038e-16,9.291526073021902e-16,1.3062352058677464,1.2438217642665617,5.226291322614039e-16,1.0216136427337128,0.0,1.2097597443687413,1.2084939688266807,1.2961165200721527,0.0,0.0,1.1346970021590306,0.0,0.0,0.9732589040913572,0.9473005933774035,0.0,0.0,0.0
HOUGANG,1413,10.534468196690076,-7.628123791187389e-05,5.599891666269478e-05,-6.321295639330276e-05,-0.0029787211193626952,-0.00414458226438515,0.00803821306955417,1.5968419660823476,1.900503817152087,2.1388228970179792,2.4218140002143365,2.4764855162233035,-8.084415809731466e-16,0.6226999635529502,0.8203059441244624,0.8305944269062184,0.8654494056345713,0.6085277154693165,0.9197324550948142,0.8938752547981448,0.7185622387909586,0.9445897251443367,0.6618036362221438,2.512097063164677e-17,0.642601069916781,0.7872063254104327,0.0,0.5949631849215619,0.623556850703368,0.0,0.0,0.0
JURONG EAST,467,10.944883886048434,-0.00011826597197392257,-1.5308966235949226e-05,-1.234258264320976e-06,-0.00635613338232599,-0.004989239966207353,0.006775068515245702,1.79078119392661,2.157116529250331,2.4029604624791334,2.6271266063301297,1.9668990940622166,-4.708628729362895e-16,2.091917872518308e-15,-5.201121453478631e-16,1.007388439457503,1.430985766909568e-15,0.057693462128842965,3.4895223622176447e-16,0.9595106546047071,0.028192148724418553,0.1573866004842932,-0.0416248562766981,0.0,0.01531516442180525,0.0,0.0,-0.00442230016098355,-0.015224983937839554,0.0,0.0,0.0
JURONG WEST,1562,10.393522373515186,-6.138307253075796e-05,-9.531251984695141e-06,4.310469925529882e-05,-0.0008258398631732222,-0.00719001623637475,0.005622825485191038,1.549614081267097,1.874356609794663,2.1228115058004784,2.3274119166899907,2.519328259962972,-9.302252165581275e-16,0.7685605077776678,1.0325795518790866,0.7101188021498519,0.9620799032011829,0.7089895816650029,1.2941224214747488e-16,0.8470326089531932,0.7772862583011451,0.9332046716125473,0.6886115543283715,0.0,0.802824136178943,0.7104988413992467,0.0,0.765905219469333,0.6858307365996145,0.0,0.0,0.0
KALLANG/WHAMPOA,783,10.592377357372094,-0.00021709598584441006,7.242066197262159e-05,-1.508376537885821e-05,0.004030983893845798,-0.007118308043640376,0.006461818141077394,1.6798108844505222,1.8603939308732451,2.1855323366844805,2.5301033100906465,2.336536895273234,3.6825292997862555e-16,-2.3654344281215903e-16,1.0269196719110042e-16,1.0948493460477222,0.8163728136103772,0.6853251284379318,4.093666654864885e-16,1.2416875492255133,0.8689776437126117,0.9220235853851217,0.0,0.0,0.791352895385022,0.9449100068903458,0.0,0.7391108638978062,0.5773688839946868,1.9103986407849547,0.0,0.0
MARINE PARADE,144,7.652238221805227,0.00012149345613762796,0.00036786062436228173,-0.00045757720585062195,-0.0005828299781591717,0.0074670328155233,0.01279551839677337,0.8211838984890267,1.3513731203236166,1.574012570969277,3.9056686320233567,0.0,0.0,0.0,2.1108888318091115,0.0,0.0,3.7465695897819558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7947798002141901,0.0,0.0,0.0
PASIR RIS,624,9.941699930087886,-4.95115902232118e-05,2.538280068979193e-05,-4.518000089996752e-05,0.0007346375183267112,-0.007221851920144184,0.006729743350134015,1.3690851106383026,1.7383201044994423,2.000461719049749,2.212247095908331,2.6215858999920556,9.052449051525677e-16,1.5255074943687593e-16,3.0718295985169085e-17,1.2686225680201202,1.5767472055186604,1.463612408478534,0.0,1.3529633319719374,1.500506238950992,0.0,0.0,0.0,1.4351204126991908,0.0,0.0,1.3441277644484533,0.0,0.0,0.0,0.0
PUNGGOL,2084,11.043740744826465,-8.937970499667009e-05,6.793657721458515e-05,-1.78307693739448e-05,0.00241723715259122,-0.01689002093425459,0.006953240933544734,1.699873051570999,1.9993533550149158,2.267796427065668,2.45185608042343,2.624861830751436,-1.0760981914990751e-15,0.1659655007420433,2.22709415408476e-16,9.450989682112667e-17,0.0,0.01672184626084583,0.0,0.0,0.015817341098395943,0.0,0.0,0.0,0.0,0.07569053662704994,0.513860042776634,0.0,0.0,0.0,0.0,0.0
QUEENSTOWN,600,10.9380182316612,-7.939087444075579e-05,8.345429745018864e-05,3.2273632887590026e-05,0.006674108416293796,-0.00893728350270398,0.005008924009294674,1.8530797454104126,2.1668424231177785,2.4953075191407246,2.8572394831042547,1.565549060887986,6.483444794312007e-16,1.0792715588496314e-15,0.1663610069739363,1.5655490608879856,-9.531786743586431e-16,0.04204739236960009,-1.4719962688342294e-16,0.0,0.16661369065056242,0.0,0.0,0.0,0.10780814685965012,0.17927447695626064,0.3252429059124573,0.0,-0.029079097797217734,0.8561192285154879,0.0,0.0
SEMBAWANG,1010,11.052455809881852,-0.00015003491909953504,-5.7749873411263675e-06,-5.6375851372945885e-06,0.001338779385964134,-0.01267660406569715,0.007663635793691795,1.744011326706879,2.0308555213876534,2.2975455436502576,2.4092281428709073,2.57081527526616,3.1411271537435323e-15,4.524811119275345e-16,1.1910884467467807e-15,0.09256019091171641,-3.941146164881514e-16,0.06285601481759517,0.0,0.22542961484154578,-0.0007212449712374891,0.0,-0.008232812396221867,0.0,0.0,0.04577556546339201,0.0,0.0,0.0,0.0,0.0,0.0
SENGKANG,1954,10.96358124021572,-7.63054317476032e-05,7.521446328394462e-05,-2.7803952765741375e-06,0.008812230035905477,-0.012940856629471559,0.005585279251708236,1.7099885343387433,2.003178463602043,2.2632452555291986,2.387149735125113,2.600019251620622,-1.7835015248993694e-15,0.1327515010851794,-6.378824890153078e-16,0.0510941676309038,-2.0553153068243873e-15,0.05488708430289968,0.0,0.2304402887902519,0.005424294563050935,0.0,0.003201483346078504,0.0,0.0,0.06008767712382834,0.0,0.0,0.0,0.0,0.0,0.0
SERANGOON,420,9.94514648441849,-0.0001363424273593903,9.14701993601978e-06,1.1081991664489699e-05,0.0004266740084078041,-0.0032940707291193166,0.010375126231079765,1.2904016428177751,1.6851998084047246,1.9744068324493793,2.330111839227198,2.6650263615194087,-6.947549430287788e-16,-5.607900412983934e-16,1.3936289085821243,1.3271272017477134,0.0,1.395047103068287,0.0,1.3378991597716867,1.5827907045602423,0.0,0.0,0.0,1.4643756226560172,0.0,0.0,1.4442777840323926,0.0,0.0,0.0,0.0
TAMPINES,1634,10.228596155063068,-8.100988037609212e-05,1.9201220906259154e-05,-4.4028453473082536e-05,0.0015192557345957147,-0.005879838404084429,0.007159419096793653,1.462595115988016,1.8337304639005638,2.105823885081567,2.3234159982252063,2.503030691867714,-1.6149237010066125e-15,-1.3345853176015308e-15,1.3096428564713356,1.1234453271349019,1.2038232025824789,1.060608097586774,4.76255577174223e-17,1.1847313291961223,1.1191438407285899,0.0,0.0,0.0,1.0943935046831987,1.1013547035213191,0.0,1.0314532931583513,0.0,0.0,0.0,0.0
TOA PAYOH,720,10.495240299367525,-0.000148814104465202,-4.37767766730034e-05,-5.074704905134856e-05,0.0016592683594891522,-0.010001230389980284,0.0052042619534933485,1.5774432362313335,1.8332697481637665,2.112530952596429,2.4683805132724435,2.503615849103558,-8.141373379444608e-16,9.105326666172246e-17,1.1264133549782684,1.2249179467562823,1.2167429514603585,1.0378844605102961,0.0,1.278697902347274,1.2156952779600756,1.3319570251556323,0.0,0.0,1.0805111224326591,0.0,0.0,0.0,0.9824202577666838,0.0,0.0,0.0
WOODLANDS,2057,11.030499614696797,-0.00010007263420601714,-1.3081914545695975e-05,-1.6698121710345952e-05,0.0023420565479730787,-0.0058232131187596695,0.0051553726076249,1.7021665064510196,2.0012184179362733,2.2438073429887844,2.452140276381289,2.631167070939445,-4.143731544165093e-15,-4.5563511236560064e-15,8.728638883832594e-16,0.15984512116263105,2.606565875543052e-15,-0.0401027916483776,-1.0022586416925284e-15,0.08677775087024409,0.0021782411037265526,0.0,-0.025438750028400126,0.0,-0.03558732898707406,-0.011898575949779389,0.0,-0.07845245552814006,-0.06093100853894251,0.0,0.0,0.0
YISHUN,1822,11.21157916554608,-8.281716474579557e-05,2.1782633590889094e-06,-3.059806217554982e-05,-0.0009278332259105154,-0.004891870189716228,0.006556798128433405,1.609361925750013,1.8993564398586644,2.132961173602323,2.4025768420011295,1.749991746622451,1.4173310377115316,-0.04241960080259988,-2.521642820035174e-15,0.8797919809561776,0.13976772861841824,-0.09785351721173274,1.6357035380107975e-16,0.8701997656662736,-0.030121126422446576,0.0,0.0,1.4173310377115316,-0.06355707320494064,-0.07460777542780939,0.0,-0.13541133081646883,0.0,0.0,0.0,0.0
