town,n_obs,const,dist_mrt,dist_hcen,dist_scen,bus_count_400m,resale_age,storey_mid,type_2 ROOM,type_3 ROOM,type_4 ROOM,type_5 ROOM,type_EXECUTIVE,type_MULTI-GENERATION,model_3Gen,model_Adjoined flat,model_Apartment,model_DBSS,model_Improved,model_Improved-Maisonette,model_Maisonette,model_Model A,model_Model A-Maisonette,model_Model A2,model_Multi Generation,model_New Generation,model_Premium Apartment,model_Premium Apartment Loft,model_Simplified,model_Standard,model_Terrace,model_Type S1,model_Type S2
BRICKWORKS,526,10.370072254059453,-3.09974310474395e-05,-7.571246946485623e-05,-3.8260191661553845e-06,-0.001364895250454301,-0.019279589248936246,0.00674888681677353,2.4125358356209485,2.731737892854016,3.0310340928129476,2.1947644327714215,-7.157202076127516e-17,0.0,1.1380432882949911,0.0,0.0,0.0,1.0567211444763989,0.0,0.0,0.009018213089470706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUKIT BATOK CENTRAL,299,11.094158676748165,-0.00025327401325823907,-2.275894231083776e-05,4.144367216421703e-05,-6.275576054404208e-05,-0.008932882768113375,0.0054833842969145286,1.809948487622469,2.1493914828892056,2.4493868826562193,2.729822994857663,1.9556088287226043,4.37937580916568e-15,-5.15465901270182e-16,-1.592689726113087e-17,0.9590596034335781,0.0,-0.0669718760139899,0.0,0.9965492252890216,0.015584413015701237,0.0,0.0,0.0,-0.003726702029344775,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUKIT BATOK EAST,93,8.213562950113637,-7.413276188836249e-05,9.510205162097801e-05,6.237507244975099e-05,0.005774348898935161,-0.0035940244270109556,0.007333446237873367,-5.7790764932038125e-15,2.4670632835056168,2.7422086754011388,3.004290991206867,-3.6904950528215665e-15,0.0,0.0,0.0,0.0,0.0,2.060997655338177,0.0,0.0,2.086008346002324,0.0,0.0,0.0,2.0708960006089816,0.0,0.0,1.995660948164148,0.0,0.0,0.0,0.0
BUKIT BATOK SOUTH,101,9.156691005453464,-0.0004527175311797513,0.00010621210993875521,0.00022289198580262293,-0.004067896479153114,0.019980343487697505,0.006155739358275611,1.790330292506218e-15,1.8158143080743692,2.174311650105998,2.3672277409035223,2.799337306369509,1.83325338619669e-15,-7.610087035829967e-17,0.0,1.321351343715162,0.0,1.4611994605028933,0.0,1.47798596265436,1.4514174668319972,0.0,1.3552364897201672,0.0,0.0,2.0895002820289204,0.0,0.0,0.0,0.0,0.0,0.0
BUKIT BATOK WEST,93,9.340793159546525,-0.0003447265543028953,0.00026517966135132347,0.00031901419591752814,0.002296605280471986,-0.002362641212266453,0.005009707638407218,-1.6189260787950824e-16,1.8812009092539044,2.192118705945007,2.3969491352306047,2.8705244091170092,2.668508617538643e-16,-1.5835088345433418e-16,0.0,1.4068782567499554,0.0,1.572321734807793,0.0,1.4636461523670556,1.5935775075521645,0.0,0.0,0.0,1.5515553577896624,1.7528141502799468,0.0,0.0,0.0,0.0,0.0,0.0
BUKIT HO SWEE,83,8.84631525608505,-0.0005587666678849718,0.0006494530911062661,0.0004991276751558269,-0.017789891322677054,-0.022607235822035943,0.0045262005262458604,1.8071822583983819,2.0344203781815287,2.3318223474839623,2.672890272021179,-4.632622252591427e-16,1.232733443705226e-15,0.0,0.0,0.0,0.0,2.2819387576966186,0.0,0.0,1.9308554809087077,0.0,0.0,0.0,2.3834889811400806,0.0,0.0,0.0,2.250032036339613,0.0,0.0,0.0
CHENG SAN,267,9.68311448285889,-6.964715649758826e-05,-2.2353986754239212e-05,-1.3405417257209278e-05,0.00587656601400155,-0.009494804890958303,0.0073345348117986875,1.382740887824923,1.7617949872414957,2.0226938813887956,2.1777971873488107,2.3380875390548708,8.94001412630413e-16,-2.5861118728307554e-16,2.121619629951368,0.0,1.9639736452352887,1.893844357548227,0.0,0.0,1.9204132765747448,0.0,0.0,0.0,1.7832635735492606,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHINATOWN,85,8.75314987586538,-0.0013385811347844945,0.00107484013781306,-0.00028251820642695435,0.0032182749987864634,-0.023877511583198174,0.005116385479585201,2.1738233711170646e-15,2.364107284662908,2.7328358341546473,3.6562067570478227,0.0,0.0,0.0,1.9454340842082942,0.0,0.0,2.6019878408806107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4949552779369264,1.710772672839557
CHOA CHU KANG CENTRAL,83,8.7813747443106,0.0001319148706940259,0.0001258944289460294,-2.0311046059311166e-05,-0.008847094355278307,-0.0213904403331584,0.0060170993275670825,1.5311680334519882e-15,-1.9369450034290065e-15,2.4232211517140545,2.710053477816266,3.6481001147803234,0.0,0.0,0.0,1.7751773963472468,0.0,2.509724900356371,0.0,1.8729227184330566,2.6235497291739387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHOA CHU KANG NORTH,135,8.806811094736236,-0.0001726164707855373,-2.649585444353987e-06,-2.963540951260858e-05,0.0015758932920681007,-0.0009017873730401971,0.007666561870860761,0.9995716887042265,1.3341165833514967,1.5412865139152023,1.741613122580655,3.190223186184686,1.6295126705084852e-16,0.0,0.0,1.5586816113042048,0.0,2.797811925380854,0.0,1.6315415748804876,2.818775983170715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHONG BOON,226,9.470460521524124,-0.0001975662059037534,-0.0001195856503324556,1.879615631912579e-05,-0.004500663157959384,-0.010372694548422774,0.00804026777946619,0.9905909312498049,1.9579258844572751,2.216623149450675,1.7668269787736817,2.53849357759269,0.0,0.0,2.5384935775926896,0.0,0.0,2.7574179100234923,0.0,0.0,2.1118322289391855,0.0,0.0,0.0,2.062716804968753,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLEMENTI CENTRAL,98,8.449396262271426,-0.0001629097515827363,0.0005388772276008844,0.0005047539991851402,-0.0038275128383994383,-0.018381212196405317,0.005941185315916947,1.6206606757937814,1.940890574115139,2.26706450653342,2.6207805058290905,0.0,0.0,0.0,0.0,0.0,0.0,2.620780505829093,0.0,0.0,2.767522659224098,0.0,0.0,0.0,3.0610930972182553,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLEMENTI NORTH,259,10.236374487789334,-0.0001771761629457344,5.919894365043047e-05,1.745153140009486e-05,0.00240117992343436,-0.01038157861486002,0.0055246169061180135,1.4150853512421884,1.6304806759098787,1.954711420286309,2.2616907543300058,2.974406286020967,4.093223282623825e-16,1.2108839963832133e-15,1.051974479003829,0.9523953474976237,1.412051839667619,1.426179676301429,0.0,0.970036459519513,1.4925211204003292,0.0,0.0,0.0,1.479311707936447,0.0,0.0,0.0,1.4519038574625667,0.0,0.0,0.0
CLEMENTI WEST,87,7.620520481794488,9.884037308364318e-05,-5.493209624329691e-05,-0.00012827922762677704,0.011515184028487946,-0.008095658437758724,0.007701088459985211,-8.790809038678119e-15,1.6999475994025606,1.960027233151664,3.960545649240297,0.0,0.0,0.0,2.0236825647505032,0.0,0.0,1.9368630844897878,0.0,0.0,0.0,0.0,0.0,0.0,3.6599748325542256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLEMENTI WOODS,102,8.195760512234084,-0.00010133646178417388,-0.00021408103152157666,-6.75295601746985e-05,0.00819062428727535,-0.008237745595593676,0.0036619329191329257,7.661662299353324e-15,2.4532940004005304,2.760994853084612,2.981471658748955,0.0,0.0,0.0,0.0,0.0,0.0,2.732625560030882,0.0,0.0,2.7936943675754558,0.0,0.0,0.0,2.6694405846277482,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COMMONWEALTH,69,6.8040492746793575,0.0011937886258143182,-0.00810356026393011,0.007005120768130424,-0.008209081053499379,-0.022618887045428693,0.005869802910567663,1.704882903095303,1.9342138752750078,3.1649524963091142,0.0,0.0,0.0,0.0,3.1649524963091142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.63909677837027,0.0,0.0,0.0
COMPASSVALE,167,8.169226258805065,-6.467010015881935e-05,0.0002400236944893946,-0.00023209813158553763,-0.005575191666022827,-0.010048508581996685,0.011279618292874674,4.348536060538929e-16,2.4289321673011326,2.815771755130595,2.9245223363733226,0.0,0.0,0.0,0.0,0.0,0.0,2.763434761884347,0.0,0.0,2.7142764090497185,0.0,0.0,0.0,0.0,2.691515087870994,0.0,0.0,0.0,0.0,0.0,0.0
DEPOT ROAD,41,7.7029129266311,0.00013264260724242527,0.0008086902052124034,-0.0005910404110740855,0.012922719487303058,-0.008769889408457465,0.005252999252443213,-5.4247958533445e-16,1.7317633116649311,1.9768331567968573,3.9943164581693917,0.0,0.0,0.0,0.0,0.0,0.0,1.8970895155137004,0.0,0.0,3.708596468461799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.097226942655647,0.0,0.0,0.0
DOVER,56,9.27583503251695,-0.00010694495639224436,0.000153003919349963,0.00022756859294202972,0.01586917293891421,-0.01732364829355188,0.00385660735986558,-5.603868909593826e-15,2.121722231048093,2.4095320457963574,2.4986443499986977,2.2459364056738806,6.08054994876875e-16,0.0,0.0,2.2459364056738726,0.0,1.696979486606194,0.0,0.0,1.5271882706089501,0.0,0.0,0.0,1.7398401691269434,0.0,0.0,0.0,2.0658907005009857,0.0,0.0,0.0
EVERTON PARK,49,8.625858639129278,0.0002750447912654025,-0.0003994293625267653,1.368990941307685e-05,-0.0027861032004953268,-0.006610874183504811,0.003187324300367389,4.902532963568331e-16,2.38413704395482,2.690110041856993,3.551611553317451,0.0,0.0,0.0,0.0,0.0,0.0,1.8508411481930076,0.0,0.0,2.5494432017497948,0.0,0.0,0.0,2.5248038840620426,0.0,0.0,0.0,1.7007704051244468,0.0,0.0,0.0
FAJAR,193,9.688695137237762,0.00010986096594987199,-0.00023220400659931285,2.0360278687580474e-05,0.0017500441695679214,-0.005581128441069325,0.007026152176695777,1.494136425995658,1.7833859022143965,2.00757536588978,2.13071166551085,2.2728857776270948,-1.0283156624427529e-15,3.2828150219363187e-16,1.6783474764789874e-16,1.7268628163619786,0.0,1.6409533437706414,0.0,1.7770826791399505,1.5575100591509194,0.0,0.0,0.0,0.0,1.5395576679571388,0.0,1.4467285708571123,0.0,0.0,0.0,0.0
FERNVALE,505,10.467880721039984,-0.00025649660743054265,-5.877497150341346e-06,0.00012926662837380075,-0.006642748526807074,-0.008487562593950948,0.005319785269085234,2.233165588941733,2.5513519780056124,2.7655542039919876,2.9178089501006466,5.500979806572653e-16,5.570082952831272e-16,0.0,0.0,0.0,0.0,0.05112851857385792,0.0,0.0,0.0008635707943103199,0.0,0.0,0.0,0.0,0.00015941999386015482,0.0,0.0,0.0,0.0,0.0,0.0
GEYLANG BAHRU,67,10.392605948048484,-0.0015351814066616731,0.0003336583929381652,-0.0019569289991494543,0.01108775056976996,-0.03288902516169245,0.009339791013920407,-5.203603948715479e-14,3.710043854646301,2.9172388476852227,3.765323245717152,0.0,0.0,0.0,0.0,0.0,0.0,2.3049889239539354,0.0,0.0,2.9172388476851836,0.0,0.0,0.0,2.42422007165532,0.0,0.0,0.0,2.746158104754251,0.0,0.0,0.0
GEYLANG EAST,163,10.17440591472384,6.347004777809955e-06,-0.0002043681645923518,-0.0002055193356607269,0.00020386688910711825,-0.005511971842301809,0.006251278498148022,-4.7720866924470146e-15,2.113510085275273,2.4473871864833048,2.829679044608411,2.7838295983568186,-6.04079815984901e-16,-1.4455434005604266e-16,2.507427158685472e-16,1.401323484443333,0.0,1.1445726000101135,0.0,1.3825061139134878,1.4134440151864351,1.3038620167937358,0.0,0.0,1.270620578758015,0.0,0.0,1.2289126807369608,1.0291644248817575,0.0,0.0,0.0
GHIM MOH,153,10.631522105753945,-0.00011700507061535546,-1.6018207923964092e-05,0.00010478763468693524,-0.001360940749501438,-0.016176171325656324,0.003943523997010354,2.173289344767934,2.552623337549634,2.8689469298303893,3.036662493606041,-1.5817533547224459e-15,-1.0060606143649263e-15,9.821669470722734e-17,0.5279511629719238,0.0,0.0,0.25730258487308966,0.0,0.0,0.12707357371651273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46157796458723155,0.0,0.0,0.0
GOMBAK,61,6.3510903866418325,7.06574750390064e-05,6.214719731239236e-05,0.0002825026350432025,0.006549636651944635,0.016119467475427918,0.0049206820508481686,-6.232818203522939e-15,0.0,3.110216622683378,3.2408737639585024,0.0,0.0,0.0,0.0,0.0,0.0,3.2408737639585024,0.0,0.0,3.11021662268338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUILIN,57,9.14815912333141,-8.562313839477476e-05,8.705761516601164e-05,6.940183926831128e-05,-0.003629735861576888,-0.004850530022959987,0.0073448966879505195,-2.809208462574349e-14,1.768524397176062,2.00840092088427,2.3001231061993934,3.071110699071845,-4.906198139586201e-18,0.0,0.0,1.537205551801378,0.0,1.9827875743733347,0.0,1.5339051472705112,2.1039396781574453,0.0,0.0,0.0,0.0,0.0,0.0,1.9903211717287874,0.0,0.0,0.0,0.0
HENDERSON HILL,74,11.041627977631201,-0.0003669531514615687,1.090395461448429e-05,0.0002138503255716545,0.0012716190513937242,-0.013374585827672258,0.0036027363405498475,2.2283330640901404,2.6118694188128586,2.924508130667345,3.276917364060898,5.5593047628447864e-15,-4.430234890488109e-15,0.0,0.0,0.0,0.0,-0.10547000945494389,0.0,0.0,-0.07398719072403104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12574404416306084,0.0,0.0,0.0
HOLLAND DRIVE,92,8.045034985657702,-0.00013746913244891672,0.00015674369046017947,0.00037210871042094723,-0.016233023825762527,-0.0014305027095265765,0.007047725122789256,-7.885183992037521e-15,2.306653758833666,2.623495143960967,3.1148860828630465,5.0421353827660143e-17,0.0,0.0,1.8199940659587597,0.0,0.0,2.029258142293153,0.0,0.0,2.3042384173603443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.891544360045431,0.0,0.0,0.0
HONG KAH,309,9.963312559386544,-0.00014686708535348563,-0.00010460679496775822,5.5849651441202373e-05,-0.000693846831506445,-0.006559418218281571,0.0064134755093987195,1.402977351847973,1.7367189145667719,1.9913723961479795,2.2038372848486887,2.6284066119751324,9.118410780491533e-16,-5.2330018669285035e-17,1.360479076490619,1.6878052505226258e-16,0.0,1.4404024187953,0.0,1.2679275354845192,1.4638230104633263,1.6147176327749972,0.0,0.0,1.419568421999915,0.0,0.0,1.3963944633778629,0.0,0.0,0.0,0.0
HONG KAH NORTH,180,9.404032809096714,-6.213490993165838e-05,-7.87656922109567e-05,2.9437623916496805e-05,0.0019440592877719154,-0.0046786996009986065,0.006069310707184555,-9.460100192224604e-16,2.1195759957535736,2.3539739149045498,2.032353296532409,2.898129601906172,-2.1713029620423498e-16,0.0,0.0,1.4407126688544962,0.0,2.032353296532411,0.0,1.4574169330516762,1.5374080733826512,0.0,0.0,0.0,1.487945727087204,0.0,0.0,1.4481961101882554,0.0,0.0,0.0,0.0
HOUGANG EAST,168,9.402879589865329,-0.00012078498413263788,8.786221797051682e-05,-0.00017828795259390573,0.0013048405292236387,-0.005530526646438161,0.010392276916218093,2.6554141253557656e-16,2.1291885521611675,2.3687085832364856,2.5960790588478595,2.3089033956198364,3.286234057049375e-16,0.0,0.0,0.0,1.9185277855198428,1.743999795609827,0.0,2.3089033956198306,1.7544422276867022,0.0,0.0,0.0,1.6770063854291628,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOUGANG WEST,325,9.225704657064849,-3.351646812670313e-05,-9.648124041822075e-06,-3.1464402308290125e-05,-0.0025423651465619618,-0.0050186421408899284,0.008810404480493871,-3.792614054102273e-16,1.8020885552206984,2.0243367032952735,2.3133121868945805,3.0859672116542884,-4.078370148885315e-17,0.0,0.0,1.511378017455137,0.0,2.0118214396721164,0.0,1.5745891941991483,2.120037722036273,0.0,0.0,0.0,0.0,0.0,0.0,2.007878283702172,0.0,0.0,0.0,0.0
JELEBU,157,9.72949535614766,-8.97554559796572e-05,0.00017384911670316233,-0.0002585260506461715,-0.00011349978746622025,-0.016794705215186112,0.007270840989267044,-1.9762948032959204e-15,2.1035547576067906,2.3434737515206043,2.5565279829364203,2.7259388640838154,6.308958250383789e-17,1.0085185528670056e-16,1.8926787994030828e-18,1.651202837536464,0.0,1.609886253342428,0.0,1.7657395665547022,1.6075552727808584,0.0,0.0,0.0,0.0,1.5575585981627347,0.0,1.537552827770459,0.0,0.0,0.0,0.0
